"UMC","retrieval_date","euctr_name","total_unreported","total_reported","total_due","not_yet_due_trials","inconsistent_trials","total_trials"
"Mannheim","2021-03-06","central-institute-of-mental-health-in-mannheim",1,0,1,9,0,10
"Berlin","2021-03-06","charite-universitatsmedizin-berlin",32,45,77,85,36,198
"Dresden","2021-03-06","dresden-university-of-technology",5,16,21,22,5,48
"Jena","2021-03-06","friedrich-schiller-university-jena",4,4,8,10,3,21
"Frankfurt","2021-03-06","goethe-university",9,1,10,32,3,45
"Hannover","2021-03-06","hannover-medical-school",23,6,29,12,13,54
"Heidelberg","2021-03-06","heidelberg-university-hospital",11,17,28,26,5,59
"Düsseldorf","2021-03-06","heinrich-heine-university-dusseldorf",1,4,5,4,4,13
"Mainz","2021-03-06","johannes-gutenberg-university-of-mainz",16,13,29,14,7,50
"Würzburg","2021-03-06","julius-maximilian-university-of-wurzburg",7,1,8,13,6,27
"Leipzig","2021-03-06","leipzig-university",2,23,25,11,2,38
"Halle-Wittenberg","2021-03-06","martin-luther-university-halle-wittenberg",11,1,12,15,3,30
"Greifswald","2021-03-06","medical-university-greifswald",0,0,0,5,2,7
"Magdeburg","2021-03-06","otto-von-guericke-university-magdeburg",9,0,9,8,7,24
"Marburg","2021-03-06","philipps-university-marburg",3,4,7,7,3,17
"Bochum","2021-03-06","ruhr-university-bochum",4,0,4,10,1,15
"Aachen","2021-03-06","rwth-aachen-university",13,2,15,20,10,45
"Homburg","2021-03-06","saarland-university",2,0,2,8,0,10
"Schleswig-Holstein","2021-03-06","schleswig-holstein-university-hospital",9,0,9,14,5,28
"TU-München","2021-03-06","technical-university-of-munich",3,28,31,24,11,66
"Rostock","2021-03-06","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-03-06","university-duisburg-essen",12,1,13,15,5,33
"Erlangen","2021-03-06","university-erlangen-nuremberg",10,14,24,31,3,58
"Tübingen","2021-03-06","university-hospital-tubingen",14,3,17,36,8,61
"Bonn","2021-03-06","university-of-bonn",14,0,14,8,4,26
"Köln","2021-03-06","university-of-cologne",8,25,33,32,7,72
"Freiburg","2021-03-06","university-of-freiburg",5,15,20,24,2,46
"Giessen","2021-03-06","university-of-giessen",2,1,3,5,2,10
"Göttingen","2021-03-06","university-of-gottingen",10,3,13,6,5,24
"Hamburg","2021-03-06","university-of-hamburg",10,9,19,27,3,49
"LMU-München","2021-03-06","university-of-munich-ludwig-maximilians",32,5,37,36,5,78
"Münster","2021-03-06","university-of-munster",5,17,22,11,3,36
"Regensburg","2021-03-06","university-of-regensburg",7,2,9,14,5,28
"Ulm","2021-03-06","university-of-ulm",7,7,14,27,4,45
"Witten/Herdecke","2021-03-06","university-of-wittenherdecke",0,0,0,5,1,6
"Mannheim","2021-04-01","central-institute-of-mental-health-in-mannheim",1,0,1,9,0,10
"Berlin","2021-04-01","charite-universitatsmedizin-berlin",32,45,77,80,40,197
"Dresden","2021-04-01","dresden-university-of-technology",5,16,21,22,5,48
"Jena","2021-04-01","friedrich-schiller-university-jena",4,4,8,10,3,21
"Frankfurt","2021-04-01","goethe-university",10,1,11,31,3,45
"Hannover","2021-04-01","hannover-medical-school",23,6,29,12,13,54
"Heidelberg","2021-04-01","heidelberg-university-hospital",10,19,29,26,5,60
"Düsseldorf","2021-04-01","heinrich-heine-university-dusseldorf",1,4,5,4,4,13
"Mainz","2021-04-01","johannes-gutenberg-university-of-mainz",16,13,29,14,7,50
"Würzburg","2021-04-01","julius-maximilian-university-of-wurzburg",7,1,8,13,6,27
"Leipzig","2021-04-01","leipzig-university",2,23,25,11,2,38
"Halle-Wittenberg","2021-04-01","martin-luther-university-halle-wittenberg",11,1,12,15,3,30
"Greifswald","2021-04-01","medical-university-greifswald",0,0,0,5,2,7
"Magdeburg","2021-04-01","otto-von-guericke-university-magdeburg",0,9,9,8,7,24
"Marburg","2021-04-01","philipps-university-marburg",3,4,7,7,3,17
"Bochum","2021-04-01","ruhr-university-bochum",4,0,4,10,1,15
"Aachen","2021-04-01","rwth-aachen-university",13,2,15,19,11,45
"Homburg","2021-04-01","saarland-university",2,0,2,8,0,10
"Schleswig-Holstein","2021-04-01","schleswig-holstein-university-hospital",9,0,9,15,5,29
"TU-München","2021-04-01","technical-university-of-munich",3,28,31,25,11,67
"Rostock","2021-04-01","universitat-rostock",1,0,1,2,0,3
"Duisburg-Essen","2021-04-01","university-duisburg-essen",12,1,13,15,5,33
"Erlangen","2021-04-01","university-erlangen-nuremberg",10,14,24,31,3,58
"Tübingen","2021-04-01","university-hospital-tubingen",14,3,17,37,8,62
"Bonn","2021-04-01","university-of-bonn",14,0,14,9,4,27
"Köln","2021-04-01","university-of-cologne",8,28,36,30,6,72
"Freiburg","2021-04-01","university-of-freiburg",5,15,20,27,2,49
"Giessen","2021-04-01","university-of-giessen",2,1,3,5,2,10
"Göttingen","2021-04-01","university-of-gottingen",10,5,15,6,3,24
